productID,reviewText,rating,reviewerName,reviewDate,sentimentScore
P411387,It’s hard to find a good natural face wash and the smell is a bonus!,5,2beinspired,2024-10-06T02:19:42.000+00:00,0.5
P411387,"Love, the lather is so nice and removes makeup so easily, my face texture and breakouts are so much better",5,MadieRN,2024-10-02T08:00:54.000+00:00,0.5
